event-id,visible,timestamp,location-long,location-lat,locality,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
36178092993,TRUE,14:52.0,130.6615,0.0838,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092994,TRUE,00:00.0,130.644,0.077,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092995,TRUE,05:00.0,130.1227,-0.1393,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092996,TRUE,08:25.0,130.2403,-0.0419,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092997,TRUE,18:06.0,130.2389,-0.0465,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092998,TRUE,11:21.0,130.1793,-0.0504,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092999,TRUE,57:51.0,130.1643,0.0289,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093000,TRUE,25:40.0,130.1435,0.0455,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093001,TRUE,19:31.0,130.1116,0.0911,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093002,TRUE,52:02.0,130.1119,0.0793,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093003,TRUE,25:12.0,130.0451,0.0534,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093004,TRUE,07:26.0,130.0582,0.0506,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093005,TRUE,31:18.0,130.1327,0.0513,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093006,TRUE,50:03.0,130.0832,0.0656,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093007,TRUE,13:49.0,130.1518,-0.1541,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093008,TRUE,21:02.0,130.1549,-0.1522,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093009,TRUE,48:07.0,130.166,-0.1542,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093010,TRUE,54:12.0,130.1263,-0.1389,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093011,TRUE,34:22.0,130.1244,-0.1388,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093012,TRUE,39:28.0,130.0987,-0.1595,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093013,TRUE,42:52.0,130.0935,-0.1432,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093014,TRUE,48:09.0,130.094,-0.1444,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093015,TRUE,30:36.0,130.1263,-0.1395,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093016,TRUE,18:11.0,130.1187,-0.1493,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093017,TRUE,42:42.0,130.1202,-0.1484,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
